time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-07-17 17:17:25.726 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288529481528,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,48,48,31,48, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,565815584, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:18:25.732 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288494931768,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,24,24,16,24, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , ,1,10,289772544, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:19:25.737 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288485916472,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,24,24,23,24, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,343249920, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:20:25.742 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288492289848,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,24,24,16,24, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,393581568, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:21:25.748 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,13, , , , , , , , , ,1564,29, , , ,243,8,12, ,3, , , , , , , , , ,1, ,1, ,18150549,3911,2, ,2595, , , , ,18047868,288490708792,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,58,58,28,58, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,450204672, , , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21,1,12, , , , , , , , , , 
2023-07-17 17:22:25.754 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288492916536,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,51,51,26,51, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,500536320, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:23:25.787 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288493166392,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,24,24,11,24, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,551916544, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:24:25.797 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288489959224,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,37,37,18,37, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,602248192, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:25:25.801 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288503021368,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,71,71,51,71, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , ,1,100,323326976, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:26:25.827 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288502452024,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,37,37,20,37, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,373658624, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:27:25.884 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288504844088,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,34,34,16,34, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,425038848, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:28:25.914 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288502427448,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,23,23,16,23, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,475370496, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:29:25.943 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,288500776760,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,24,24,16,24, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,526750720, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:30:25.958 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,287468306232,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,102,102,56,102, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,578130944, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:31:26.014 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,13, , , , , , , , , ,1564,29, , , ,243,8,12, ,3, , , , , , , , , ,1, ,1, ,18150549,3911,2, ,2595, , , , ,18047868,285951037240,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,30,30,10,30, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , ,1,64,300527192, , , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21,1,12, , , , , , , , , , 
2023-07-17 17:32:26.201 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,283498762040,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,38,38,24,38, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,350858840,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:33:26.518 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,282951659320,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,48,48,38,48, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,402239064, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:34:26.591 UTC, , , , , , , , , ,20853,18150549,14983296,672, ,1564, ,12, , , , , , , , , ,1564,29, , , ,243,8,12, , , , , , , , , , , ,1, , , ,18150549,3911,2, ,2595, , , , ,18047868,281750781752,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015160,18,18,7,18, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,453619288, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 17:35:03.678 UTC, , , , , , , , , ,20853,18152925,14986344, , ,1565, ,55, , , , , , , , , ,1565,30, , , ,243,9,13, ,74, , , , , , , , , ,1, ,46, ,18152925,3911,2, ,2595, , , , ,18047868,279323553592,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18047868,1689612025367,,, , , , , , , , , ,3145728,4303015659,12,12,5,12, , , ,3,3, ,3, ,3,4, , ,1, , , , , , , , , ,499,3, , , , , , ,1,152,323599984, , , , , , , ,187, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,138,44,8, , , , , , , , , , 
